location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2975,2002989,FI00781-2975,2023-01-07T05:00:00+02:00,60.2239299995377,25.10244,pm10,µg/m³,3.537476
2975,2002989,FI00781-2975,2023-01-07T06:00:00+02:00,60.2239299995377,25.10244,pm10,µg/m³,3.413364
2975,2002989,FI00781-2975,2023-01-07T07:00:00+02:00,60.2239299995377,25.10244,pm10,µg/m³,3.641691
2975,2002989,FI00781-2975,2023-01-07T08:00:00+02:00,60.2239299995377,25.10244,pm10,µg/m³,3.5897
2975,2002989,FI00781-2975,2023-01-07T15:00:00+02:00,60.2239299995377,25.10244,pm10,µg/m³,7.116196
2975,27740,FI00781-2975,2023-01-07T05:00:00+02:00,60.2239299995377,25.10244,pm25,µg/m³,1.632897
2975,27740,FI00781-2975,2023-01-07T06:00:00+02:00,60.2239299995377,25.10244,pm25,µg/m³,1.562656
2975,27740,FI00781-2975,2023-01-07T07:00:00+02:00,60.2239299995377,25.10244,pm25,µg/m³,1.765761
2975,27740,FI00781-2975,2023-01-07T08:00:00+02:00,60.2239299995377,25.10244,pm25,µg/m³,1.68985
2975,27740,FI00781-2975,2023-01-07T15:00:00+02:00,60.2239299995377,25.10244,pm25,µg/m³,4.798998
2975,6403,FI00781-2975,2023-01-07T05:00:00+02:00,60.2239299995377,25.10244,o3,µg/m³,74.77573
2975,6403,FI00781-2975,2023-01-07T06:00:00+02:00,60.2239299995377,25.10244,o3,µg/m³,73.31689
2975,6403,FI00781-2975,2023-01-07T07:00:00+02:00,60.2239299995377,25.10244,o3,µg/m³,70.17684
2975,6403,FI00781-2975,2023-01-07T08:00:00+02:00,60.2239299995377,25.10244,o3,µg/m³,72.45522
2975,6403,FI00781-2975,2023-01-07T15:00:00+02:00,60.2239299995377,25.10244,o3,µg/m³,67.74688
2975,6306,FI00781-2975,2023-01-07T05:00:00+02:00,60.2239299995377,25.10244,no2,µg/m³,1.092121
2975,6306,FI00781-2975,2023-01-07T06:00:00+02:00,60.2239299995377,25.10244,no2,µg/m³,1.487958
2975,6306,FI00781-2975,2023-01-07T07:00:00+02:00,60.2239299995377,25.10244,no2,µg/m³,1.951516
2975,6306,FI00781-2975,2023-01-07T08:00:00+02:00,60.2239299995377,25.10244,no2,µg/m³,1.92375
2975,6306,FI00781-2975,2023-01-07T15:00:00+02:00,60.2239299995377,25.10244,no2,µg/m³,2.370215
